CC;European.list.coalition;alternative;national party;votes;comment;seats
SK;none;no alternative;Koalícia Komunistická strana Slovenska, VZDOR – strana práce;6199;;0
SK;none;no alternative;DOMA DOBRE;6124;;0
SK;none;no alternative;Demokratická strana;5092;;0
SK;none;no alternative;DOPRAVA;3998;;0
SK;none;no alternative;STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI;2976;;0
SK;none;no alternative;Slovenská ľudová strana Andreja Hlinku;2953;;0
SK;none;no alternative;Strana práce;2657;;0
SK;none;no alternative;Maďarská kresťanskodemokratická aliancia – Magyar Kereszténydemokrata Szövetség;2270;;0
SK;none;no alternative;PRIAMA DEMOKRACIA;2222;;0
SK;none;no alternative;HLAS ĽUDU;2101;;0
SK;none;no alternative;NAJ – Nezávislosť a Jednota;2016;;0
SK;none;no alternative;EURÓPSKA DEMOKRATICKÁ STRANA;1452;;0
SK;none;no alternative;Strana tolerancie a spolunažívania;918;;0
SK;none;no alternative;SLOVENSKÁ NÁRODNÁ JEDNOTA - strana vlastencov;621;;0
SK;none;no alternative;SLOVENSKÁ KONZERVATÍVNA STRANA;603;;0
SK;none;no alternative;Strana rómskej koalície;512;;0
HR;EPP;no alternative;Hrvatska demokratska zajednica;244076;;4
HR;PES;no alternative;Socijaldemokratska partija Hrvatske;200976;;4
HR;ECR;no alternative;Hrvatski suverenisti;91546;;1
HR;indipendents;no alternative;Mislav Kolakušić;84765;;1
HR;none;no alternative;Živi zid;60847;;1
HR;RENEW;no alternative;Amsterdamska koalicija;55829;;1
HR;none;no alternative;Most nezavisnih lista;50257;;0
HR;indipendents;no alternative;Marijana Petir⁠;47358;;0
HR;none;no alternative;Neovisni za Hrvatsku–Hrvatska stranka prava;46970;;0
HR;none;no alternative;Samostalna demokratska srpska stranka;28597;;0
HR;RENEW;ALDE;Hrvatska narodna stranka – Liberalni demokrati;27958;;0
HR;none;no alternative;Start - Stranka antikorupcije, razvoja transparentnosti;21744;;0
